Provincia;Regiones.x;Porcet-Sitieneseguro;Sitiene-acc-internet;Porcen-Sisabeleeryescrib;Porcet-accesoagua;Porc-votosV.Mendoza
 San Román;Puno;30.95762433;15.90983091;90.00568034;89;25.23
 Sandia;Puno;69.50455244;0.159132727;84.77605157;78;30
 Yunguyo;Puno;52.45675303;2.388080485;79.5964691;80;34.91
 Bellavista;San Martín;76.54679919;9.073812882;84.32450216;59;18.76
 El Dorado;San Martín;84.81715281;4.795321637;81.25798212;81;9.98
 Huallaga;San Martín;76.79778957;3.193464538;85.80104551;98;13.9
 Lamas;San Martín;81.5372726;6.039325843;82.65762835;87;15.22
 Mariscal Cáceres;San Martín;68.15213691;13.83533548;86.14791378;91;22.24
 Moyobamba;San Martín;63.30650104;15.31678158;85.72505263;92;17.92
 Picota;San Martín;74.8403009;5.198720877;85.27567114;66;12.96
 Rioja;San Martín;69.360393;9.816976594;84.06339882;88;17.42
 San Martín;San Martín;51.17791761;29.73769138;90.3995721;91;11.91
 Tocache;San Martín;60.49514367;8.367497109;85.97565632;82;23.97
 Candarave;Tacna;59.47230416;1.785714286;86.55732161;90;41.31
 Jorge Basadre;Tacna;21.48890745;18.40277778;92.32032457;81;39.99
 Tacna;Tacna;30.77231911;31.05049393;92.09252085;92;35.26
 Tarata;Tacna;63.99737447;2.271805274;88.73644986;86;35.81
 Contralmirante Villar;Tumbes;58.89727881;16.06217617;89.5176299;13;5.91
 Tumbes;Tumbes;56.57193376;23.45451578;90.17955669;69;10.03
 Zarumilla;Tumbes;65.76447465;16.38061041;88.06090971;57;7.22
 Atalaya;Ucayali;70.53766929;3.264576904;74.0680605;84;12.05
 Coronel Portillo;Ucayali;53.14289582;19.19276092;88.63216266;94;10.75
 Padre Abad;Ucayali;63.28547424;5.028432688;84.31313203;79;28.4
 Purús;Ucayali;75.66433566;0.436046512;73.91141141;100;9.1
